code,market,issue,issue_short,industry,unit,info,topix100,tracking
2384-T,東証1部,SBSホールディングス,ＳＢＳＨＤ,陸運業,100,貸借銘柄,,
2389-T,東証1部,オプトホールディング,オプトホールディング,サービス業,100,貸借銘柄,,
2395-T,東証1部,新日本科学,新日科学,サービス業,100,貸借銘柄,,
2398-T,東証1部,ツクイ,ツクイ,サービス業,100,貸借銘柄,,
2399-T,東証1部,綜合臨床ホールディングス,綜合臨床ＨＤ,サービス業,100,制度信用銘柄,,
2410-T,東証1部,キャリアデザインセンター,キャリアＤＣ,サービス業,100,貸借銘柄,,
2413-T,東証1部,エムスリー,エムスリー,サービス業,100,貸借銘柄,,
2418-T,東証1部,ツカダ・グローバルホールディング,ツカダグローバルＨＤ,サービス業,100,貸借銘柄,,
2427-T,東証1部,アウトソーシング,アウトソシング,サービス業,100,貸借銘柄,,
2428-T,東証1部,ウェルネット,ウェルネット,サービス業,100,貸借銘柄,,
2432-T,東証1部,ディー・エヌ・エー,ディーエヌエー,サービス業,100,貸借銘柄,,
2433-T,東証1部,博報堂DYホールディングス,博報堂ＤＹ,サービス業,100,貸借銘柄,,
2440-T,東証1部,ぐるなび,ぐるなび,サービス業,100,貸借銘柄,,
2445-T,東証1部,エスアールジータカミヤ,ＳＲＧタカミヤ,サービス業,100,制度信用銘柄,,
2450-T,東証1部,一休,一休,サービス業,100,貸借銘柄,,
2453-T,東証1部,ジャパンベストレスキューシステム,ＪＢＲ,サービス業,100,貸借銘柄,,
2461-T,東証1部,ファンコミュニケーションズ,ファンコミ,サービス業,100,貸借銘柄,,
2462-T,東証1部,ジェイコムホールディングス,ジェイコムＨＤ,サービス業,100,貸借銘柄,,
2466-T,東証1部,PGMホールディングス,ＰＧＭ,サービス業,100,貸借銘柄,,
2475-T,東証1部,WDBホールディングス,ＷＤＢ,サービス業,100,制度信用銘柄,,
2485-T,東証1部,ティア,ティア,サービス業,100,貸借銘柄,,
2491-T,東証1部,バリューコマース,Ｖコマース,サービス業,100,貸借銘柄,,
2501-T,東証1部,サッポロホールディングス,サッポロＨＤ,食料品,1000,貸借銘柄,,
2502-T,東証1部,アサヒグループホールディングス,アサヒ,食料品,100,貸借銘柄/TOPIX100,1,
2503-T,東証1部,キリンホールディングス,キリンＨＤ,食料品,100,貸借銘柄/TOPIX100,1,
2531-T,東証1部,宝ホールディングス,宝ＨＬＤ,食料品,100,貸借銘柄,,
2533-T,東証1部,オエノンホールディングス,オエノンＨＤ,食料品,1000,貸借銘柄,,
2540-T,東証1部,養命酒製造,養命酒,食料品,1000,制度信用銘柄,,
2579-T,東証1部,コカ・コーラウエスト,コカウエスト,食料品,100,貸借銘柄,,
2580-T,東証1部,コカ・コーライーストジャパン,コカ・コーラＥＪ,食料品,100,貸借銘柄,,
2587-T,東証1部,サントリー食品インターナショナル,サントリーＢＦ,食料品,100,貸借銘柄,,
2590-T,東証1部,ダイドードリンコ,ＤｙＤｏ,食料品,100,貸借銘柄,,
2593-T,東証1部,伊藤園,伊藤園,食料品,100,貸借銘柄,,
25935-T,東証1部,伊藤園 第1種  優先,伊藤園−優,食料品,100,貸借銘柄,,
2594-T,東証1部,キーコーヒー,キーコーヒー,食料品,100,貸借銘柄,,
2597-T,東証1部,ユニカフェ,ユニカフェ,食料品,100,制度信用銘柄,,
2599-T,東証1部,ジャパンフーズ,ジャパンＦ,食料品,100,貸借銘柄,,
2602-T,東証1部,日清オイリオグループ,日清オイリオ,食料品,1000,貸借銘柄,,
2607-T,東証1部,不二製油,不二油,食料品,100,貸借銘柄,,
2612-T,東証1部,かどや製油,かどや油,食料品,100,制度信用銘柄,,
2613-T,東証1部,J-オイルミルズ,Ｊオイル,食料品,1000,貸借銘柄,,
2651-T,東証1部,ローソン,ローソン,小売業,100,貸借銘柄,,
2659-T,東証1部,サンエー,サンエー,小売業,100,貸借銘柄,,
2662-T,東証1部,ダイユーエイト,ダイユーエイト,小売業,100,制度信用銘柄,,
2664-T,東証1部,カワチ薬品,カワチ薬品,小売業,100,制度信用銘柄,,
2670-T,東証1部,エービーシー・マート,ＡＢＣマート,小売業,100,貸借銘柄,,
2674-T,東証1部,ハードオフコーポレーション,ハードオフ,小売業,100,貸借銘柄,,
2676-T,東証1部,高千穂交易,高千穂交,卸売業,100,貸借銘柄,,
